^fall17
BIOCHEM,501,770,3.076,30.8,15.5,22.2,9.9,16.9,4.5,0,0.3,0,0,0,0,0,0,0,0,
BIOCHEM,507,173,2.994,23.1,15.6,26.6,6.4,23.7,2.3,0,0.6,0,0,0,0,1.2,0,0.6,0,
BIOCHEM,510,56,3.282,44.6,5.4,19.6,17.9,10.7,0,0,1.8,0,0,0,0,0,0,0,0,
BIOCHEM,551,83,3.295,27.7,27.7,28.9,12.0,1.2,2.4,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,601,42,3.357,19.0,42.9,28.6,9.5,0,0,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,612,12,3.333,33.3,16.7,33.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,630,33,3.387,21.2,30.3,42.4,0,0,0,0,0,0,0,0,0,3.0,3.0,0,0,
BIOCHEM,645,18,3.765,66.7,16.7,5.6,5.6,0,0,0,0,0,0,0,0,5.6,0,0,0,
BIOCHEM,660,24,3.636,37.5,45.8,4.2,4.2,0,0,0,0,0,0,0,0,0,0,8.3,0,
BIOCHEM,699,47,3.987,93.6,2.1,0,0,0,0,0,0,0,0,0,0,2.1,0,2.1,0,
BIOCHEM,701,23,4.000,95.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,
BIOCHEM,704,11,3.545,36.4,54.5,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,729,83,3.791,78.3,10.8,8.4,1.2,0,0,0,0,0,0,0,0,0,0,1.2,0,
BIOCHEM,872,8,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,910,9,4.000,33.3,0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,0,
BIOCHEM,912,9,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,914,14,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BIOCHEM,918,6,0.0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,
